3.000	14.200
3.200	17.400
3.400	17.400
3.600	20.000
3.800	22.200
4.000	23.800
4.200	21.400
4.400	24.000
4.600	27.400
4.800	25.600
5.000	28.200
5.200	33.000
5.400	39.000
5.600	39.000
5.800	43.000
6.000	42.200
6.200	39.400
6.400	43.800
6.600	47.400
6.800	42.800
7.000	40.200
7.200	41.200
7.400	43.400
7.600	46.000
7.800	41.000
8.000	43.200
8.200	48.200
8.400	47.600
8.600	49.800
8.800	55.400
9.000	44.000
9.200	52.600
9.400	47.800
9.600	41.600
9.800	51.600
10.000	48.600
10.200	50.600
10.400	47.400
10.600	50.200
10.800	46.000
