SpectraSuite Datei
++++++++++++++++++++++++++++++++++++
Datum: Mon Feb 18 14:20:13 CET 2019
Benutzer: Admin
Dark-Spektrum vorhanden: Ja
Referenz-Spektrum vorhanden: Nein
Zahl der probierten Teilspektren: 1
Spektrometer: USB4F05832
Integrationszeit (usec): 3800 (USB4F05832)
Spektren Durchschnitt berechnet: 1 (USB4F05832)
Boxcar Glättung: 0 (USB4F05832)
Dunkelstromkorrektur: Nein (USB4F05832)
Puls/Lampe aktiviert: Nein (USB4F05832)
Correct for Detector Non-linearity: Nein (USB4F05832)
Streulichtkorrektur: Nein (USB4F05832)
Anzahl Pixel in verarbeitetem Spektrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
177,54	90,11
177,75	90,11
177,97	90,11
178,19	47,10
178,41	172,03
178,63	-86,01
178,85	45,06
179,07	75,77
179,29	43,01
179,51	133,12
179,73	16,38
179,95	-110,59
180,17	30,72
180,39	-20,48
180,61	8,19
180,83	-34,82
181,05	-24,58
181,27	47,10
181,49	-40,96
181,71	-14,34
181,92	-77,82
182,14	-28,67
182,36	108,54
182,58	-102,40
182,80	92,16
183,02	-53,25
183,24	-24,58
183,46	49,15
183,68	-67,58
183,90	-12,29
184,12	79,87
184,34	-65,54
184,56	49,15
184,78	-59,39
185,00	-90,11
185,21	-69,63
185,43	96,25
185,65	-120,83
185,87	-18,43
186,09	6,14
186,31	12,29
186,53	-2,05
186,75	4,10
186,97	-67,58
187,19	-94,21
187,41	-47,10
187,63	-77,82
187,84	-67,58
188,06	-34,82
188,28	-30,72
188,50	-61,44
188,72	-92,16
188,94	-110,59
189,16	-38,91
189,38	-20,48
189,60	26,62
189,82	16,38
190,03	-34,82
190,25	-14,34
190,47	16,38
190,69	88,06
190,91	106,49
191,13	-45,06
191,35	-79,87
191,57	-47,10
191,79	34,82
192,01	-18,43
192,22	-24,58
192,44	-88,06
192,66	-51,20
192,88	-8,19
193,10	100,35
193,32	102,40
193,54	-24,58
193,76	-12,29
193,98	40,96
194,19	-81,92
194,41	-26,62
194,63	4,10
194,85	-26,62
195,07	-135,17
195,29	151,55
195,51	-83,97
195,73	-59,39
195,94	-8,19
196,16	16,38
196,38	-104,45
196,60	14,34
196,82	112,64
197,04	-22,53
197,26	51,20
197,48	112,64
197,69	24,58
197,91	69,63
198,13	18,43
198,35	-32,77
198,57	-38,91
198,79	-63,49
199,01	-77,82
199,22	-59,39
199,44	6,14
199,66	-75,77
199,88	30,72
200,10	-2,05
200,32	-104,45
200,54	-88,06
200,75	-20,48
200,97	4,10
201,19	-38,91
201,41	-38,91
201,63	47,10
201,85	53,25
202,06	-4,10
202,28	-24,58
202,50	-43,01
202,72	169,98
202,94	-34,82
203,16	-20,48
203,38	-4,10
203,59	-45,06
203,81	-63,49
204,03	-30,72
204,25	0,00
