X,CH1,
Second,Volt,
-7.3999981e-03,-2.40000e-02,
-7.1999966e-03,-1.80000e-02,
-6.9999970e-03,-6.00000e-03,
-6.7999973e-03,-2.00000e-03,
-6.5999976e-03,1.40000e-02,
-6.3999980e-03,1.60000e-02,
-6.1999983e-03,2.80000e-02,
-5.9999968e-03,3.00000e-02,
-5.7999971e-03,2.20000e-02,
-5.5999975e-03,1.80000e-02,
-5.3999978e-03,2.00000e-03,
-5.1999982e-03,-2.00000e-03,
-4.9999966e-03,-2.00000e-02,
-4.7999970e-03,-2.00000e-02,
-4.5999973e-03,-3.00000e-02,
-4.3999976e-03,-3.20000e-02,
-4.1999980e-03,-2.00000e-02,
-3.9999983e-03,-2.00000e-02,
-3.7999968e-03,6.00000e-03,
-3.5999971e-03,8.00000e-03,
-3.3999975e-03,2.80000e-02,
-3.1999978e-03,3.00000e-02,
-2.9999982e-03,3.40000e-02,
-2.7999985e-03,3.40000e-02,
-2.5999970e-03,1.80000e-02,
-2.3999973e-03,1.60000e-02,
-2.1999977e-03,-8.00000e-03,
-1.9999980e-03,-1.00000e-02,
-1.7999983e-03,-3.20000e-02,
-1.5999987e-03,-3.40000e-02,
-1.3999972e-03,-4.20000e-02,
-1.1999975e-03,-4.20000e-02,
-9.9999784e-04,-2.60000e-02,
-7.9999818e-04,-2.20000e-02,
-5.9999852e-04,4.00000e-03,
-3.9999888e-04,8.00000e-03,
-1.9999735e-04,3.40000e-02,
2.3096800e-09,3.60000e-02,
2.0000197e-04,4.60000e-02,
4.0000162e-04,4.60000e-02,
6.0000131e-04,3.00000e-02,
8.0000097e-04,2.60000e-02,
1.0000025e-03,-6.00000e-03,
1.2000022e-03,-1.00000e-02,
1.4000018e-03,-3.60000e-02,
1.6000015e-03,-4.00000e-02,
1.8000011e-03,-5.00000e-02,
2.0000027e-03,-5.00000e-02,
2.2000023e-03,-3.00000e-02,
2.4000020e-03,-2.80000e-02,
2.6000016e-03,1.60000e-02,
2.8000013e-03,1.80000e-02,
3.0000010e-03,5.60000e-02,
3.2000025e-03,6.00000e-02,
3.4000021e-03,5.40000e-02,
3.6000018e-03,5.20000e-02,
3.8000015e-03,6.00000e-03,
4.0000011e-03,0.00000e+00,
4.2000008e-03,-5.00000e-02,
4.4000014e-03,-5.20000e-02,
4.6000020e-03,-6.40000e-02,
4.8000016e-03,-5.80000e-02,
5.0000013e-03,-1.40000e-02,
5.2000019e-03,-8.00000e-03,
5.4000015e-03,5.00000e-02,
5.6000012e-03,5.40000e-02,
5.8000018e-03,7.60000e-02,
6.0000014e-03,7.20000e-02,
6.2000011e-03,3.00000e-02,
6.4000017e-03,2.60000e-02,
6.6000014e-03,-4.80000e-02,
6.8000010e-03,-5.40000e-02,
7.0000016e-03,-8.20000e-02,
7.2000013e-03,-8.00000e-02,
7.4000009e-03,-3.40000e-02,
7.6000015e-03,-2.40000e-02,
7.8000012e-03,6.00000e-02,
8.0000004e-03,6.60000e-02,
8.2000010e-03,9.00000e-02,
8.4000006e-03,8.60000e-02,
8.6000003e-03,8.00000e-03,
8.8000009e-03,-2.00000e-03,
9.0000005e-03,-8.80000e-02,
9.2000002e-03,-1.02000e-01,
9.4000008e-03,-8.60000e-02,
9.6000005e-03,-7.80000e-02,
9.8000001e-03,2.60000e-02,
1.0000001e-02,4.00000e-02,
1.0200000e-02,1.12000e-01,
1.0400000e-02,1.14000e-01,
1.0600001e-02,6.20000e-02,
1.0800000e-02,5.00000e-02,
1.1000001e-02,-6.80000e-02,
1.1200001e-02,-7.80000e-02,
1.1400000e-02,-1.26000e-01,
1.1600001e-02,-1.24000e-01,
